congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
113,House,21536,12,1,NJ,100,2.0,2.0,"NORCROSS, Donald",N000188,1958.0,,-0.382,0.272,-3.85906,0.8927,34.0,2.0,1.0
113,House,29132,12,1,NJ,100,1.0,1.0,"ANDREWS, Robert Ernest",A000210,1957.0,,-0.297,-0.119,-133.82281,0.793,576.0,68.0,
113,House,29539,12,2,NJ,200,0.0,1.0,"LoBIONDO, Frank A.",L000554,1946.0,,0.212,-0.233,-248.21017,0.78363,1018.0,116.0,1.0
113,House,29541,12,11,NJ,200,0.0,1.0,"FRELINGHUYSEN, Rodney P.",F000372,1946.0,,0.29,-0.281,-184.82031,0.83293,1011.0,66.0,1.0
113,House,29741,12,9,NJ,100,0.0,1.0,"PASCRELL, William J., Jr.",P000096,1937.0,,-0.365,0.008,-112.6999,0.89342,1000.0,41.0,1.0
113,House,29923,12,12,NJ,100,0.0,1.0,"HOLT, Rush",H001032,1948.0,,-0.463,-0.33,-91.06856,0.902,883.0,36.0,
113,House,31103,12,10,NJ,100,0.0,1.0,"PAYNE, Donald, Jr.",P000604,1958.0,,-0.505,-0.151,-110.71134,0.8944,992.0,48.0,1.0
113,House,20337,66,2,NM,200,0.0,1.0,"PEARCE, Stevan",P000588,1947.0,,0.472,0.064,-171.29982,0.84329,1005.0,89.0,1.0
113,House,20932,66,3,NM,100,0.0,1.0,"LUJÁN, Ben Ray",L000570,1972.0,,-0.368,0.039,-162.2418,0.85174,1011.0,64.0,1.0
113,House,21341,66,1,NM,100,0.0,1.0,"LUJAN GRISHAM, Michelle",L000580,1959.0,,-0.324,0.092,-177.95716,0.83502,987.0,75.0,1.0
113,House,13035,13,13,NY,100,0.0,1.0,"RANGEL, Charles B.",R000053,1930.0,,-0.514,-0.341,-127.33971,0.86,845.0,43.0,
113,House,15444,13,25,NY,100,0.0,1.0,"SLAUGHTER, Louise McIntosh",S000480,1929.0,,-0.464,-0.11,-154.56666,0.84688,930.0,79.0,1.0
113,House,15603,13,16,NY,100,0.0,1.0,"ENGEL, Eliot Lance",E000179,1947.0,,-0.407,-0.081,-123.93343,0.88177,985.0,52.0,1.0
113,House,15612,13,17,NY,100,0.0,1.0,"LOWEY, Nita M.",L000480,1937.0,,-0.389,-0.159,-127.28243,0.88203,1014.0,55.0,1.0
113,House,20129,13,3,NY,100,0.0,1.0,"ISRAEL, Steve",I000057,1958.0,,-0.334,-0.051,-157.31762,0.855,1006.0,85.0,
113,House,20338,13,1,NY,100,0.0,1.0,"BISHOP, Timothy H.",B001242,1950.0,,-0.338,-0.05,-167.87917,0.848,1017.0,87.0,
113,House,20519,13,26,NY,100,0.0,1.0,"HIGGINS, Brian",H001038,1959.0,,-0.342,-0.032,-118.64189,0.88532,974.0,45.0,1.0
113,House,20733,13,9,NY,100,0.0,1.0,"CLARKE, Yvette Diane",C001067,1964.0,,-0.605,-0.227,-108.66594,0.89525,982.0,60.0,1.0
113,House,20934,13,20,NY,100,0.0,1.0,"TONKO, Paul",T000469,1949.0,,-0.421,-0.266,-111.63454,0.89623,1019.0,36.0,1.0
113,House,20935,13,24,NY,100,0.0,1.0,"MAFFEI, Daniel B.",M001171,1968.0,,-0.19,-0.062,-379.379,0.689,1017.0,195.0,
113,House,20957,13,21,NY,100,0.0,1.0,"OWENS, William",O000169,1949.0,,-0.182,0.409,-329.16526,0.714,976.0,142.0,
113,House,21101,13,23,NY,200,0.0,1.0,"REED, Thomas W. II",R000585,1971.0,,0.301,0.083,-178.29608,0.83396,982.0,86.0,1.0
113,House,21154,13,11,NY,200,0.0,1.0,"GRIMM, Michael G.",G000569,1970.0,,0.219,0.136,-188.92828,0.821,956.0,71.0,
113,House,21156,13,19,NY,200,0.0,1.0,"GIBSON, Christopher",G000564,1964.0,,0.203,-0.455,-422.41261,0.658,1011.0,225.0,
113,House,21157,13,22,NY,200,0.0,1.0,"HANNA, Richard",H001051,1951.0,,0.215,-0.145,-239.02447,0.777,947.0,109.0,
113,House,21342,13,6,NY,100,0.0,1.0,"MENG, Grace",M001188,1975.0,,-0.382,-0.137,-122.30002,0.88268,980.0,50.0,1.0
113,House,21343,13,8,NY,100,0.0,1.0,"JEFFRIES, Hakeem",J000294,1970.0,,-0.482,-0.088,-109.61781,0.89568,995.0,57.0,1.0
113,House,21344,13,18,NY,100,0.0,1.0,"MALONEY, Sean Patrick",M001185,1966.0,,-0.227,0.089,-251.11179,0.78064,1014.0,128.0,1.0
113,House,21345,13,27,NY,200,0.0,1.0,"COLLINS, Chris",C001092,1950.0,,0.369,0.199,-108.21921,0.89724,998.0,46.0,1.0
113,House,29134,13,15,NY,100,0.0,1.0,"SERRANO, José E.",S000248,1943.0,,-0.488,-0.397,-81.51257,0.92172,1000.0,28.0,1.0
113,House,29375,13,2,NY,200,0.0,1.0,"KING, Peter T.",K000210,1944.0,,0.261,-0.032,-193.13675,0.82532,1006.0,76.0,1.0
113,House,29377,13,10,NY,100,0.0,1.0,"NADLER, Jerrold Lewis",N000002,1947.0,,-0.51,-0.501,-83.2045,0.91978,995.0,30.0,1.0
113,House,29378,13,7,NY,100,0.0,1.0,"VELÁZQUEZ, Nydia M.",V000081,1953.0,,-0.545,-0.355,-108.68979,0.89461,976.0,56.0,1.0
113,House,29379,13,12,NY,100,0.0,1.0,"MALONEY, Carolyn Bosher",M000087,1946.0,,-0.384,-0.284,-126.66262,0.8791,983.0,63.0,1.0
