congress,chamber,rollnumber,icpsr,cast_code
101,Senate,39,14705,1
101,Senate,39,14706,6
101,Senate,39,14708,6
101,Senate,39,14709,1
101,Senate,39,14710,6
101,Senate,39,14712,6
101,Senate,39,14713,1
101,Senate,39,14806,6
101,Senate,39,14900,1
101,Senate,39,14902,1
101,Senate,39,14904,6
101,Senate,39,14907,6
101,Senate,39,14908,6
101,Senate,39,14909,6
101,Senate,39,14910,1
101,Senate,39,14912,1
101,Senate,39,14914,1
101,Senate,39,14915,6
101,Senate,39,14920,1
101,Senate,39,14921,6
101,Senate,39,14922,1
101,Senate,39,15037,6
101,Senate,39,15039,6
101,Senate,39,15054,1
101,Senate,39,15501,6
101,Senate,39,15502,1
101,Senate,39,15503,1
101,Senate,39,15504,1
101,Senate,39,15700,1
101,Senate,39,15701,6
101,Senate,39,15702,1
101,Senate,39,15703,1
101,Senate,39,15704,1
101,Senate,39,15705,1
101,Senate,39,99908,6
101,Senate,44,660,1
101,Senate,44,1252,1
101,Senate,44,1366,1
101,Senate,44,4812,1
101,Senate,44,9369,1
101,Senate,44,10513,1
101,Senate,44,10605,1
101,Senate,44,10700,6
101,Senate,44,10791,1
101,Senate,44,10808,1
101,Senate,44,10818,1
101,Senate,44,11029,1
101,Senate,44,11043,1
101,Senate,44,11044,1
101,Senate,44,11203,1
101,Senate,44,11204,1
101,Senate,44,12103,6
101,Senate,44,12107,1
101,Senate,44,12109,1
101,Senate,44,13039,1
101,Senate,44,13050,1
101,Senate,44,13056,1
101,Senate,44,14002,1
101,Senate,44,14009,1
101,Senate,44,14010,1
101,Senate,44,14031,1
101,Senate,44,14056,1
101,Senate,44,14073,1
101,Senate,44,14101,1
101,Senate,44,14103,1
101,Senate,44,14105,6
101,Senate,44,14107,1
101,Senate,44,14108,1
101,Senate,44,14203,1
101,Senate,44,14213,1
101,Senate,44,14226,6
101,Senate,44,14230,6
101,Senate,44,14240,1
101,Senate,44,14242,1
101,Senate,44,14268,1
101,Senate,44,14275,1
101,Senate,44,14282,1
101,Senate,44,14300,1
101,Senate,44,14302,1
101,Senate,44,14303,1
101,Senate,44,14304,1
101,Senate,44,14307,1
101,Senate,44,14423,9
101,Senate,44,14440,1
101,Senate,44,14467,1
101,Senate,44,14500,1
101,Senate,44,14501,1
101,Senate,44,14502,1
101,Senate,44,14503,1
101,Senate,44,14506,1
101,Senate,44,14508,1
101,Senate,44,14509,1
101,Senate,44,14511,6
101,Senate,44,14617,1
101,Senate,44,14628,1
101,Senate,44,14659,1
101,Senate,44,14700,1
101,Senate,44,14701,1
101,Senate,44,14702,6
101,Senate,44,14703,3
101,Senate,44,14704,1
101,Senate,44,14705,1
101,Senate,44,14706,1
101,Senate,44,14708,1
101,Senate,44,14709,1
101,Senate,44,14710,1
101,Senate,44,14712,1
101,Senate,44,14713,1
101,Senate,44,14806,6
101,Senate,44,14900,1
101,Senate,44,14902,1
